id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1272,2590,0,20180409,20180410,20180412,20180417,
1605,2590,2,20180409,20180409,,,20180410
1271,2590,0,20180411,20180411,20180413,20180416,
1313,2592,5,20180424,20180424,,,20180425
1354,2592,0,,19000101,,,
1034,2593,0,20180111,20180112,20180116,20180123,
1291,2594,0,20180417,20180417,20180420,20180424,
1367,2595,1,20180306,20180306,,,20180307
1172,2597,0,20180222,20180222,20180226,20180302,
1177,2597,0,20180222,20180222,20180302,20180306,
1273,2599,0,20180411,20180413,20180413,20180417,
1294,2600,0,20180416,20180419,20180420,20180425,
1563,2601,0,20180427,20180428,20180430,20180504,
1068,2602,0,20180101,20180102,20180111,20180115,
1086,2603,0,20180112,20180113,20180119,20180123,
1108,2604,0,20180118,20180118,20180124,20180129,
1447,2605,16,20180207,20180208,,,20180208
1140,2605,0,20180208,20180209,20180209,20180213,
1488,2606,1,20180221,20180222,,,20180222
1176,2606,0,20180226,20180227,20180228,20180305,
1574,2607,0,20180430,20180501,,,
1604,2607,2,20180502,20180503,,,20180503
1072,2608,0,20180101,20180102,,20180116,
1387,2608,16,20180101,20180101,,,20180102
1439,2609,1,20180130,20180130,,,20180131
1379,2609,2,20180206,20180206,,,20180207
1248,2609,0,20180304,20180306,20180406,20180410,
1200,2610,0,20180307,20180307,20180309,20180313,
1218,2611,0,20180313,20180313,20180315,20180320,
1465,2612,2,20180326,20180328,,,20180327
1555,2612,1,20180409,20180409,,,20180410
1595,2612,2,20180410,20180410,,,20180411
1267,2612,0,20180411,20180412,20180413,20180417,
1329,2613,2,20180412,20180413,,,20180413
1401,2613,0,20180423,20180424,,,
1307,2613,2,20180424,20180426,,,20180425
1406,2613,2,20180430,20180501,,,20180501
1084,2614,0,20180115,20180116,20180119,20180123,
1085,2615,0,20180117,20180118,20180118,20180123,
1528,2616,13,20180118,20180118,,,20180119
1456,2616,2,20180123,20180124,,,20180124
1124,2616,0,20180129,20180129,20180131,20180206,
1264,2617,0,20180411,20180412,20180412,20180416,
1278,2618,0,20180413,20180414,20180417,20180420,
1575,2619,0,20180430,20180501,,,
1491,2620,1,20180320,20180321,,,20180321
1328,2620,16,20180327,20180330,,,20180328
1245,2620,0,20180402,20180403,20180404,20180406,
1058,2621,0,20180101,20180101,,20180109,
1535,2622,0,20180109,20180109,20180117,20180119,
1078,2623,0,20180110,20180111,20180112,20180119,
1522,2624,1,20180117,20180118,,,20180118
1389,2624,15,20180123,20180124,,,20180124
1041,2625,0,20180126,20180127,20180130,20180202,
1168,2626,0,20180220,20180221,20180221,20180226,
1186,2627,0,20180228,20180301,20180301,20180306,
1190,2628,0,20180301,20180302,20180307,20180313,
1276,2629,0,20180412,20180413,20180414,20180417,
1274,2629,0,20180412,20180412,20180414,20180417,
1455,2631,1,20180123,20180123,,,20180124
1201,2631,0,20180226,20180226,20180308,20180313,
1425,2632,1,20180417,20180418,,,20180418
1289,2632,0,20180419,20180420,20180420,20180424,
1093,2633,0,20180118,20180118,20180124,20180126,
1464,2634,2,20180123,20180124,,,20180124
1514,2634,13,20180129,20180131,,,20180130
1119,2635,0,20180129,20180131,20180131,20180202,
1182,2636,0,20180226,20180227,20180302,20180305,
1331,2637,2,20180402,20180402,,,20180403
1159,2638,0,20180219,20180220,20180221,20180226,
1350,2639,16,20180313,20180314,,,20180314
1051,2640,0,20180101,20180101,,20180105,
1137,2640,0,20180101,20180101,,,
1442,2640,2,20180131,20180131,,,20180201
1438,2640,0,20180206,20180208,20180208,20180212,
1494,2642,2,20180222,20180222,,,20180223
1471,2642,2,20180223,20180224,,,20180224
1179,2642,0,20180301,20180303,20180302,20180306,
